iter	Passed	Remaining
0	6	6797
1	13	6574
2	24	8147
3	27	6730
4	31	6360
5	35	5937
6	39	5559
7	45	5605
8	53	5854
9	59	5893
10	64	5790
11	67	5529
12	71	5453
13	76	5386
14	81	5319
15	93	5756
16	98	5678
17	102	5598
18	107	5525
19	111	5473
20	116	5420
21	120	5354
22	124	5295
23	129	5258
24	142	5539
25	146	5496
26	151	5456
27	156	5418
28	163	5463
29	165	5349
30	168	5264
31	171	5195
32	175	5142
33	179	5091
34	184	5073
35	188	5058
36	192	5009
37	196	4971
38	201	4966
39	206	4957
40	208	4879
41	211	4816
42	213	4746
43	215	4678
44	217	4619
45	219	4554
46	221	4499
47	223	4435
48	225	4376
49	227	4327
50	229	4276
51	232	4233
52	234	4187
53	236	4136
54	237	4087
55	239	4040
56	242	4005
57	244	3971
58	247	3940
59	249	3908
60	251	3867
61	252	3825
62	254	3784
63	269	3945
64	271	3904
65	273	3865
66	275	3830
67	280	3847
68	282	3816
69	285	3790
70	287	3763
71	289	3727
72	290	3695
73	292	3659
74	294	3629
75	296	3605
76	298	3572
77	299	3541
78	301	3518
79	303	3491
80	305	3465
81	307	3438
82	308	3411
83	311	3391
84	313	3370
85	317	3375
86	321	3378
87	326	3381
88	330	3387
89	337	3416
90	342	3422
91	347	3427
92	351	3432
93	356	3436
94	360	3438
95	365	3438
96	369	3440
97	376	3468
98	380	3460
99	383	3454
100	390	3474
101	393	3465
102	396	3454
103	399	3444
104	403	3441
105	406	3425
106	408	3409
107	410	3386
108	412	3368
109	413	3348
110	416	3333
111	418	3314
112	420	3299
113	422	3282
114	424	3263
115	425	3245
116	427	3227
117	429	3213
118	431	3194
119	433	3178
120	435	3163
121	436	3144
122	440	3138
123	441	3119
124	443	3106
125	445	3089
126	447	3075
127	449	3060
128	451	3046
129	453	3033
130	455	3023
131	457	3006
132	459	2995
133	461	2979
134	462	2966
135	464	2951
136	466	2939
137	468	2924
138	469	2910
139	471	2897
140	473	2885
141	475	2871
142	477	2859
143	478	2845
144	481	2836
145	485	2841
146	490	2844
147	494	2847
148	499	2850
149	503	2851
150	508	2859
151	511	2856
152	516	2858
153	520	2860
154	525	2863
155	529	2866
156	534	2871
157	538	2868
158	541	2864
159	543	2855
160	546	2847
161	548	2835
162	549	2823
163	552	2815
164	554	2807
165	556	2798
166	558	2787
167	561	2779
168	565	2781
169	567	2769
170	569	2760
171	571	2752
172	574	2743
173	576	2736
174	578	2726
175	579	2715
176	581	2705
177	584	2697
178	585	2685
179	587	2678
180	589	2667
181	591	2657
182	593	2647
183	595	2640
184	597	2630
185	598	2620
186	600	2611
187	602	2604
188	603	2591
189	605	2580
190	606	2570
191	608	2560
192	611	2554
193	612	2545
194	614	2538
195	616	2529
196	618	2519
197	620	2513
198	622	2506
199	624	2497
200	625	2487
201	627	2477
202	629	2471
203	631	2465
204	634	2459
205	636	2452
206	638	2446
207	639	2435
208	641	2429
209	643	2421
210	645	2414
211	647	2406
212	649	2401
213	651	2394
214	653	2385
215	654	2376
216	656	2370
217	659	2364
218	661	2359
219	663	2353
220	665	2345
221	667	2339
222	669	2331
223	671	2326
224	674	2321
225	675	2313
226	677	2306
227	678	2298
228	680	2290
229	681	2283
230	684	2277
231	692	2290
232	696	2292
233	698	2285
234	700	2280
235	702	2274
236	705	2269
237	707	2263
238	708	2256
239	710	2250
240	712	2243
241	714	2237
242	716	2231
243	718	2225
244	723	2231
245	725	2223
246	727	2218
247	729	2213
248	731	2207
249	733	2199
250	735	2195
251	737	2189
252	739	2183
253	741	2179
254	743	2171
255	745	2166
